25	25,26-25,43-25,7-25,43-25,29-25,26-25,47-25,7-25,11-25,29-25,21-25,29-25,7-25,46-25,43
26	26,6-26,12-26,7-26,7-26,32-26,6-26,7-26,25-26,32-26,32-26,12-26,23-26,37-26,6-26,10
27	27,23-27,28-27,14-27,18-27,2-27,25-27,25-27,14-27,17-27,5-27,18-27,2-27,20-27,18-27,25
28	28,12-28,40-28,42-28,27-28,40-28,40-28,40-28,27-28,12-28,12-28,42-28,12-28,40-28,27-28,27
29	29,14-29,43-29,11-29,11-29,0-29,14-29,42-29,43-29,30-29,25-29,11-29,0-29,43-29,43-29,34
3	3,14-3,14-3,32-3,5-3,48-3,14-3,32-3,32-3,32-3,32-3,32-3,5-3,14-3,48-3,32
30	30,27-30,42-30,42-30,18-30,18-30,27-30,43-30,4-30,42-30,29-30,4-30,29-30,42-30,18-30,4
31	31,23-31,39-31,12-31,39-31,12-31,12-31,49-31,49-31,22-31,22-31,23-31,22-31,12-31,12-31,12
32	32,9-32,16-32,12-32,26-32,16-32,26-32,9-32,26-32,3-32,16-32,3-32,49-32,49-32,12-32,9
33	33,41-33,48-33,24-33,48-33,41-33,12-33,48-33,41-33,41-33,48-33,48-33,41-33,48-33,24-33,24
34	34,45-34,29-34,0-34,0-34,45-34,0-34,45-34,8-34,8-34,8-34,0-34,29-34,0-34,24-34,45
35	35,2-35,2-35,2-35,2-35,2-35,2-35,20-35,2-35,20-35,20-35,2-35,2-35,2-35,2-35,2
36	36,11-36,38-36,38-36,11-36,11-36,38-36,11-36,11-36,38-36,38-36,11-36,38-36,20-36,38-36,38
37	37,1-37,26-37,45-37,1-37,48-37,7-37,48-37,46-37,41-37,1-37,46-37,41-37,7-37,21-37,48
38	38,49-38,44-38,49-38,16-38,16-38,44-38,40-38,36-38,16-38,16-38,40-38,49-38,39-38,40-38,2
39	39,47-39,4-39,43-39,4-39,4-39,47-39,16-39,43-39,31-39,24-39,43-39,4-39,4-39,43-39,31
4	4,16-4,47-4,39-4,30-4,30-4,30-4,25-4,16-4,16-4,39-4,39-4,16-4,39-4,25-4,25
40	40,9-40,44-40,28-40,49-40,48-40,9-40,48-40,49-40,48-40,48-40,9-40,9-40,44-40,9-40,47
41	41,33-41,37-41,11-41,33-41,37-41,33-41,37-41,11-41,23-41,33-41,33-41,11-41,11-41,11-41,11
42	42,10-42,29-42,30-42,30-42,28-42,28-42,0-42,10-42,29-42,28-42,10-42,10-42,0-42,10-42,10
43	43,25-43,25-43,29-43,1-43,0-43,1-43,16-43,29-43,25-43,39-43,12-43,12-43,12-43,16-43,16
44	44,38-44,40-44,38-44,38-44,38-44,40-44,40-44,38-44,38-44,38-44,40-44,40-44,40-44,40-44,40
45	45,15-45,8-45,34-45,34-45,34-45,7-45,34-45,7-45,15-45,34-45,34-45,8-45,37-45,7-45,37
46	46,19-46,5-46,37-46,37-46,25-46,15-46,37-46,5-46,25-46,19-46,1-46,1-46,37-46,6-46,37
47	47,40-47,39-47,42-47,5-47,10-47,40-47,42-47,17-47,5-47,40-47,10-47,39-47,4-47,39-47,10
48	48,49-48,12-48,3-48,40-48,12-48,3-48,49-48,3-48,12-48,37-48,3-48,3-48,33-48,33-48,40
49	49,11-49,8-49,37-49,11-49,48-49,48-49,31-49,23-49,11-49,48-49,40-49,20-49,2-49,20-49,8
5	5,20-5,3-5,7-5,12-5,12-5,47-5,3-5,16-5,20-5,7-5,12-5,27-5,12-5,7-5,7
6	6,21-6,1-6,1-6,8-6,12-6,12-6,1-6,8-6,26-6,8-6,26-6,2-6,9-6,21-6,21
7	7,25-7,37-7,45-7,45-7,45-7,45-7,45-7,26-7,26-7,25-7,37-7,37-7,5-7,37-7,43
8	8,22-8,34-8,17-8,22-8,6-8,49-8,17-8,15-8,6-8,6-8,47-8,15-8,45-8,47-8,22
9	9,6-9,6-9,6-9,13-9,6-9,13-9,22-9,40-9,6-9,6-9,13-9,13-9,13-9,6-9,32
